year,sum,variable,timescale,region
2001,0.776766540642722,BA_Total,seasonal_mam,region_25
2002,0.8648586956521739,BA_Total,seasonal_mam,region_25
2003,2.4130359168241964,BA_Total,seasonal_mam,region_25
2004,1.7210912098298676,BA_Total,seasonal_mam,region_25
2005,1.356742911153119,BA_Total,seasonal_mam,region_25
2006,0.4277882797731568,BA_Total,seasonal_mam,region_25
2007,1.3066488657844992,BA_Total,seasonal_mam,region_25
2008,1.095936672967864,BA_Total,seasonal_mam,region_25
2009,0.7165576559546314,BA_Total,seasonal_mam,region_25
2010,1.2509910207939507,BA_Total,seasonal_mam,region_25
2011,0.8563813799621929,BA_Total,seasonal_mam,region_25
2012,1.560960775047259,BA_Total,seasonal_mam,region_25
2013,0.882680056710775,BA_Total,seasonal_mam,region_25
2014,1.1711063327032134,BA_Total,seasonal_mam,region_25
2015,0.8878303402646502,BA_Total,seasonal_mam,region_25
2016,0.7962556710775046,BA_Total,seasonal_mam,region_25
2017,1.2628804347826086,BA_Total,seasonal_mam,region_25
2018,0.23630576559546312,BA_Total,seasonal_mam,region_25
2019,0.9312599243856332,BA_Total,seasonal_mam,region_25
2020,0.42143572778827976,BA_Total,seasonal_mam,region_25
2021,0.5866734404536862,BA_Total,seasonal_mam,region_25
2022,0.41862759924385634,BA_Total,seasonal_mam,region_25
2023,0.263086011342155,BA_Total,seasonal_mam,region_25
