year,sum,variable,timescale,region
2001,0.002247752247752248,BA_Total,seasonal_son,region_14
2002,0.011601898101898104,BA_Total,seasonal_son,region_14
2003,0.00803846153846154,BA_Total,seasonal_son,region_14
2004,0.005784215784215785,BA_Total,seasonal_son,region_14
2005,0.011359140859140861,BA_Total,seasonal_son,region_14
2006,0.0020399600399600404,BA_Total,seasonal_son,region_14
2007,0.00935764235764236,BA_Total,seasonal_son,region_14
2008,0.005704295704295705,BA_Total,seasonal_son,region_14
2009,0.005162337662337663,BA_Total,seasonal_son,region_14
2010,0.013228271728271727,BA_Total,seasonal_son,region_14
2011,0.004663336663336664,BA_Total,seasonal_son,region_14
2012,0.0232002997002997,BA_Total,seasonal_son,region_14
2013,0.012894605394605397,BA_Total,seasonal_son,region_14
2014,0.011916083916083916,BA_Total,seasonal_son,region_14
2015,0.00455994005994006,BA_Total,seasonal_son,region_14
2016,0.016110889110889114,BA_Total,seasonal_son,region_14
2017,0.0058171828171828185,BA_Total,seasonal_son,region_14
2018,0.017947552447552445,BA_Total,seasonal_son,region_14
2019,0.014472527472527476,BA_Total,seasonal_son,region_14
2020,0.008041958041958043,BA_Total,seasonal_son,region_14
2021,0.0130979020979021,BA_Total,seasonal_son,region_14
2022,0.010631368631368633,BA_Total,seasonal_son,region_14
