year,sum,variable,timescale,region
2001,42.199,BA_Total,yearly,region_08
2002,69.719,BA_Total,yearly,region_08
2003,183.347,BA_Total,yearly,region_08
2004,44.70099999999999,BA_Total,yearly,region_08
2005,138.356,BA_Total,yearly,region_08
2006,65.33299999999998,BA_Total,yearly,region_08
2007,85.6,BA_Total,yearly,region_08
2008,71.44699999999999,BA_Total,yearly,region_08
2009,83.47699999999998,BA_Total,yearly,region_08
2010,62.74899999999999,BA_Total,yearly,region_08
2011,85.509,BA_Total,yearly,region_08
2012,45.353,BA_Total,yearly,region_08
2013,92.61399999999999,BA_Total,yearly,region_08
2014,55.405,BA_Total,yearly,region_08
2015,62.848,BA_Total,yearly,region_08
2016,81.338,BA_Total,yearly,region_08
2017,71.66999999999997,BA_Total,yearly,region_08
2018,66.76199999999999,BA_Total,yearly,region_08
2019,98.81499999999997,BA_Total,yearly,region_08
2020,113.752,BA_Total,yearly,region_08
2021,48.047,BA_Total,yearly,region_08
2022,49.62999999999999,BA_Total,yearly,region_08
2023,97.65300000000002,BA_Total,yearly,region_08
