year,sum,variable,timescale,region
2000,38.08299999999999,BA_Total,yearly_jj,region_31
2001,172.26399999999998,BA_Total,yearly_jj,region_31
2002,999.0679999999996,BA_Total,yearly_jj,region_31
2003,170.79599999999996,BA_Total,yearly_jj,region_31
2004,105.90899999999999,BA_Total,yearly_jj,region_31
2005,277.47,BA_Total,yearly_jj,region_31
2006,257.67999999999995,BA_Total,yearly_jj,region_31
2007,495.185,BA_Total,yearly_jj,region_31
2008,146.24299999999994,BA_Total,yearly_jj,region_31
2009,60.059999999999974,BA_Total,yearly_jj,region_31
2010,303.922,BA_Total,yearly_jj,region_31
2011,335.57800000000003,BA_Total,yearly_jj,region_31
2012,180.90899999999993,BA_Total,yearly_jj,region_31
2013,555.6310000000001,BA_Total,yearly_jj,region_31
2014,500.843,BA_Total,yearly_jj,region_31
2015,322.10400000000004,BA_Total,yearly_jj,region_31
2016,372.39799999999997,BA_Total,yearly_jj,region_31
2017,304.064,BA_Total,yearly_jj,region_31
2018,256.60999999999996,BA_Total,yearly_jj,region_31
2019,298.28999999999996,BA_Total,yearly_jj,region_31
2020,138.55399999999995,BA_Total,yearly_jj,region_31
2021,365.0889999999999,BA_Total,yearly_jj,region_31
2022,226.55699999999996,BA_Total,yearly_jj,region_31
