year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_djf,MDG
2002,1.2739999999999998,BA_Forest_NonForest,seasonal_djf,MDG
2003,0.02,BA_Forest_NonForest,seasonal_djf,MDG
2004,0.3400000000000001,BA_Forest_NonForest,seasonal_djf,MDG
2005,0.30000000000000004,BA_Forest_NonForest,seasonal_djf,MDG
2006,0.6990000000000001,BA_Forest_NonForest,seasonal_djf,MDG
2007,0.028999999999999998,BA_Forest_NonForest,seasonal_djf,MDG
2008,1.6819999999999997,BA_Forest_NonForest,seasonal_djf,MDG
2009,0.38100000000000006,BA_Forest_NonForest,seasonal_djf,MDG
2010,0.17600000000000002,BA_Forest_NonForest,seasonal_djf,MDG
2011,2.376,BA_Forest_NonForest,seasonal_djf,MDG
2012,2.8600000000000008,BA_Forest_NonForest,seasonal_djf,MDG
2013,1.415,BA_Forest_NonForest,seasonal_djf,MDG
2014,0.5760000000000002,BA_Forest_NonForest,seasonal_djf,MDG
2015,0.23100000000000004,BA_Forest_NonForest,seasonal_djf,MDG
2016,0.38700000000000007,BA_Forest_NonForest,seasonal_djf,MDG
2017,0.8360000000000001,BA_Forest_NonForest,seasonal_djf,MDG
2018,0.116,BA_Forest_NonForest,seasonal_djf,MDG
2019,0.5880000000000001,BA_Forest_NonForest,seasonal_djf,MDG
2020,0.06199999999999999,BA_Forest_NonForest,seasonal_djf,MDG
2021,0.783,BA_Forest_NonForest,seasonal_djf,MDG
2022,1.2480000000000002,BA_Forest_NonForest,seasonal_djf,MDG
2023,0.44900000000000007,BA_Forest_NonForest,seasonal_djf,MDG
