year,sum,variable,timescale,region
2001,0.00113747553816047,BA_Forest_NonForest,seasonal_djf,region_27
2002,0.008269569471624263,BA_Forest_NonForest,seasonal_djf,region_27
2003,0.006398727984344422,BA_Forest_NonForest,seasonal_djf,region_27
2004,0.0033199608610567513,BA_Forest_NonForest,seasonal_djf,region_27
2005,0.004989726027397261,BA_Forest_NonForest,seasonal_djf,region_27
2006,0.0011316046966731897,BA_Forest_NonForest,seasonal_djf,region_27
2007,0.0015215264187866926,BA_Forest_NonForest,seasonal_djf,region_27
2008,0.005867416829745597,BA_Forest_NonForest,seasonal_djf,region_27
2009,0.001811154598825832,BA_Forest_NonForest,seasonal_djf,region_27
2010,0.022167808219178086,BA_Forest_NonForest,seasonal_djf,region_27
2011,0.0006237769080234834,BA_Forest_NonForest,seasonal_djf,region_27
2012,0.003073874755381605,BA_Forest_NonForest,seasonal_djf,region_27
2013,0.00785812133072407,BA_Forest_NonForest,seasonal_djf,region_27
2014,0.005005381604696674,BA_Forest_NonForest,seasonal_djf,region_27
2015,0.0012411937377690802,BA_Forest_NonForest,seasonal_djf,region_27
2016,0.002586105675146771,BA_Forest_NonForest,seasonal_djf,region_27
2017,0.002056751467710372,BA_Forest_NonForest,seasonal_djf,region_27
2018,0.004509295499021526,BA_Forest_NonForest,seasonal_djf,region_27
2019,0.007843933463796478,BA_Forest_NonForest,seasonal_djf,region_27
2020,0.0032754403131115455,BA_Forest_NonForest,seasonal_djf,region_27
2021,0.0356697651663405,BA_Forest_NonForest,seasonal_djf,region_27
2022,0.002206947162426615,BA_Forest_NonForest,seasonal_djf,region_27
2023,0.0013532289628180039,BA_Forest_NonForest,seasonal_djf,region_27
