year,sum,variable,timescale,region
2001,0.00874537487828627,BA_Forest_NonForest,seasonal_jja,region_02
2002,0.3589104186952289,BA_Forest_NonForest,seasonal_jja,region_02
2003,0.2119878286270691,BA_Forest_NonForest,seasonal_jja,region_02
2004,0.745139240506329,BA_Forest_NonForest,seasonal_jja,region_02
2005,0.293,BA_Forest_NonForest,seasonal_jja,region_02
2006,0.3878724440116846,BA_Forest_NonForest,seasonal_jja,region_02
2007,0.10781694255111975,BA_Forest_NonForest,seasonal_jja,region_02
2008,0.08513193768257057,BA_Forest_NonForest,seasonal_jja,region_02
2009,0.36578529698149953,BA_Forest_NonForest,seasonal_jja,region_02
2010,0.34311197663096404,BA_Forest_NonForest,seasonal_jja,region_02
2011,0.14832473222979553,BA_Forest_NonForest,seasonal_jja,region_02
2012,0.2805063291139241,BA_Forest_NonForest,seasonal_jja,region_02
2013,0.34083690360272634,BA_Forest_NonForest,seasonal_jja,region_02
2014,0.6720379746835442,BA_Forest_NonForest,seasonal_jja,region_02
2015,1.7031207400194743,BA_Forest_NonForest,seasonal_jja,region_02
2016,0.08400827653359298,BA_Forest_NonForest,seasonal_jja,region_02
2017,0.7073909444985395,BA_Forest_NonForest,seasonal_jja,region_02
2018,0.6502317429406037,BA_Forest_NonForest,seasonal_jja,region_02
2019,0.40293524829600774,BA_Forest_NonForest,seasonal_jja,region_02
2020,0.005870009737098345,BA_Forest_NonForest,seasonal_jja,region_02
2021,0.708501947419669,BA_Forest_NonForest,seasonal_jja,region_02
2022,0.6262648490749756,BA_Forest_NonForest,seasonal_jja,region_02
2023,0.7504089581304773,BA_Forest_NonForest,seasonal_jja,region_02
