,year,sum,variable,timescale,region
0,2001,202.76086956521738,BA_Forest_NonForest,seasonal_mam,region_08
1,2002,476.1928166351608,BA_Forest_NonForest,seasonal_mam,region_08
2,2003,1519.8525519848772,BA_Forest_NonForest,seasonal_mam,region_08
3,2004,132.7826086956522,BA_Forest_NonForest,seasonal_mam,region_08
4,2005,1051.322306238185,BA_Forest_NonForest,seasonal_mam,region_08
5,2006,388.5491493383744,BA_Forest_NonForest,seasonal_mam,region_08
6,2007,463.6394139886578,BA_Forest_NonForest,seasonal_mam,region_08
7,2008,342.8813799621928,BA_Forest_NonForest,seasonal_mam,region_08
8,2009,599.0113421550092,BA_Forest_NonForest,seasonal_mam,region_08
9,2010,279.79773156899813,BA_Forest_NonForest,seasonal_mam,region_08
10,2011,447.05198487712653,BA_Forest_NonForest,seasonal_mam,region_08
11,2012,177.4740075614367,BA_Forest_NonForest,seasonal_mam,region_08
12,2013,679.3875236294897,BA_Forest_NonForest,seasonal_mam,region_08
13,2014,236.7221172022685,BA_Forest_NonForest,seasonal_mam,region_08
14,2015,419.281663516068,BA_Forest_NonForest,seasonal_mam,region_08
15,2016,336.63137996219285,BA_Forest_NonForest,seasonal_mam,region_08
16,2017,328.6847826086956,BA_Forest_NonForest,seasonal_mam,region_08
17,2018,282.1375236294897,BA_Forest_NonForest,seasonal_mam,region_08
18,2019,714.3969754253309,BA_Forest_NonForest,seasonal_mam,region_08
19,2020,739.8440453686201,BA_Forest_NonForest,seasonal_mam,region_08
20,2021,214.8147448015123,BA_Forest_NonForest,seasonal_mam,region_08
21,2022,250.27126654064267,BA_Forest_NonForest,seasonal_mam,region_08
22,2023,496.77126654064284,BA_Forest_NonForest,seasonal_mam,region_08
