,year,sum,variable,timescale,region
0,2000,7113.0,BA_Forest_NonForest,yearly_jj,region_07
1,2001,6363.0,BA_Forest_NonForest,yearly_jj,region_07
2,2002,7619.0,BA_Forest_NonForest,yearly_jj,region_07
3,2003,5223.0,BA_Forest_NonForest,yearly_jj,region_07
4,2004,9635.0,BA_Forest_NonForest,yearly_jj,region_07
5,2005,12552.0,BA_Forest_NonForest,yearly_jj,region_07
6,2006,7216.0,BA_Forest_NonForest,yearly_jj,region_07
7,2007,9028.0,BA_Forest_NonForest,yearly_jj,region_07
8,2008,6635.0,BA_Forest_NonForest,yearly_jj,region_07
9,2009,1795.0,BA_Forest_NonForest,yearly_jj,region_07
10,2010,13524.0,BA_Forest_NonForest,yearly_jj,region_07
11,2011,8312.0,BA_Forest_NonForest,yearly_jj,region_07
12,2012,13267.0,BA_Forest_NonForest,yearly_jj,region_07
13,2013,3003.0,BA_Forest_NonForest,yearly_jj,region_07
14,2014,2811.0,BA_Forest_NonForest,yearly_jj,region_07
15,2015,2907.0,BA_Forest_NonForest,yearly_jj,region_07
16,2016,5007.0,BA_Forest_NonForest,yearly_jj,region_07
17,2017,9653.0,BA_Forest_NonForest,yearly_jj,region_07
18,2018,10024.0,BA_Forest_NonForest,yearly_jj,region_07
19,2019,5044.0,BA_Forest_NonForest,yearly_jj,region_07
20,2020,12381.0,BA_Forest_NonForest,yearly_jj,region_07
21,2021,11792.0,BA_Forest_NonForest,yearly_jj,region_07
22,2022,8185.0,BA_Forest_NonForest,yearly_jj,region_07
23,2023,2421.0,BA_Forest_NonForest,yearly_jj,region_07
