year,sum,variable,timescale,region
2001,0.0021081213307240707,BA_Total,seasonal_djf,region_02
2002,0.0,BA_Total,seasonal_djf,region_02
2003,0.0010009784735812133,BA_Total,seasonal_djf,region_02
2004,0.0,BA_Total,seasonal_djf,region_02
2005,0.0121912915851272,BA_Total,seasonal_djf,region_02
2006,0.004281800391389432,BA_Total,seasonal_djf,region_02
2007,0.0001516634050880626,BA_Total,seasonal_djf,region_02
2008,0.0020004892367906065,BA_Total,seasonal_djf,region_02
2009,0.0,BA_Total,seasonal_djf,region_02
2010,0.005095890410958904,BA_Total,seasonal_djf,region_02
2011,0.0031090998043052836,BA_Total,seasonal_djf,region_02
2012,0.0004965753424657534,BA_Total,seasonal_djf,region_02
2013,0.0,BA_Total,seasonal_djf,region_02
2014,0.0005914872798434441,BA_Total,seasonal_djf,region_02
2015,0.0006218199608610566,BA_Total,seasonal_djf,region_02
2016,0.001968688845401174,BA_Total,seasonal_djf,region_02
2017,0.004125244618395303,BA_Total,seasonal_djf,region_02
2018,0.0,BA_Total,seasonal_djf,region_02
2019,0.0003943248532289628,BA_Total,seasonal_djf,region_02
2020,0.005657045009784736,BA_Total,seasonal_djf,region_02
2021,0.0003013698630136986,BA_Total,seasonal_djf,region_02
2022,0.0,BA_Total,seasonal_djf,region_02
2023,0.0,BA_Total,seasonal_djf,region_02
