,year,sum,variable,timescale,region
0,2001,326.69031311154583,BA_Total,seasonal_djf,region_21
1,2002,214.22798434442262,BA_Total,seasonal_djf,region_21
2,2003,202.67808219178082,BA_Total,seasonal_djf,region_21
3,2004,289.4647749510763,BA_Total,seasonal_djf,region_21
4,2005,188.09344422700588,BA_Total,seasonal_djf,region_21
5,2006,148.59393346379645,BA_Total,seasonal_djf,region_21
6,2007,340.15264187866916,BA_Total,seasonal_djf,region_21
7,2008,286.6986301369863,BA_Total,seasonal_djf,region_21
8,2009,245.0112524461839,BA_Total,seasonal_djf,region_21
9,2010,359.3013698630138,BA_Total,seasonal_djf,region_21
10,2011,322.55821917808214,BA_Total,seasonal_djf,region_21
11,2012,200.69569471624268,BA_Total,seasonal_djf,region_21
12,2013,279.03767123287673,BA_Total,seasonal_djf,region_21
13,2014,136.99902152641877,BA_Total,seasonal_djf,region_21
14,2015,172.4574363992172,BA_Total,seasonal_djf,region_21
15,2016,253.5567514677103,BA_Total,seasonal_djf,region_21
16,2017,71.79745596868882,BA_Total,seasonal_djf,region_21
17,2018,99.71624266144812,BA_Total,seasonal_djf,region_21
18,2019,186.75929549902148,BA_Total,seasonal_djf,region_21
19,2020,280.57436399217227,BA_Total,seasonal_djf,region_21
20,2021,460.9706457925636,BA_Total,seasonal_djf,region_21
21,2022,381.4148727984345,BA_Total,seasonal_djf,region_21
22,2023,338.2147749510762,BA_Total,seasonal_djf,region_21
