year,sum,variable,timescale,region
2001,0.3760973534971644,BA_Total,seasonal_mam,region_28
2002,0.35583412098298683,BA_Total,seasonal_mam,region_28
2003,0.24315028355387527,BA_Total,seasonal_mam,region_28
2004,0.389374763705104,BA_Total,seasonal_mam,region_28
2005,0.6653246691871455,BA_Total,seasonal_mam,region_28
2006,0.217648393194707,BA_Total,seasonal_mam,region_28
2007,0.24449669187145553,BA_Total,seasonal_mam,region_28
2008,0.2692859168241966,BA_Total,seasonal_mam,region_28
2009,0.35004678638941394,BA_Total,seasonal_mam,region_28
2010,0.2880732514177694,BA_Total,seasonal_mam,region_28
2011,0.13315500945179584,BA_Total,seasonal_mam,region_28
2012,0.1883086011342155,BA_Total,seasonal_mam,region_28
2013,0.4596658790170132,BA_Total,seasonal_mam,region_28
2014,0.3343421550094518,BA_Total,seasonal_mam,region_28
2015,0.22697684310018904,BA_Total,seasonal_mam,region_28
2016,0.8285434782608695,BA_Total,seasonal_mam,region_28
2017,0.26564224952741017,BA_Total,seasonal_mam,region_28
2018,0.2541379962192817,BA_Total,seasonal_mam,region_28
2019,0.21993809073724005,BA_Total,seasonal_mam,region_28
2020,0.5488738185255199,BA_Total,seasonal_mam,region_28
2021,0.15897920604914934,BA_Total,seasonal_mam,region_28
2022,0.12349385633270321,BA_Total,seasonal_mam,region_28
2023,0.20298913043478262,BA_Total,seasonal_mam,region_28
