,year,sum,variable,timescale,region
0,2001,251.98204158790173,BA_Total,seasonal_mam,region_39
1,2002,757.6337429111531,BA_Total,seasonal_mam,region_39
2,2003,1239.9773156899805,BA_Total,seasonal_mam,region_39
3,2004,1875.5439508506608,BA_Total,seasonal_mam,region_39
4,2005,1562.7854442344046,BA_Total,seasonal_mam,region_39
5,2006,954.9347826086957,BA_Total,seasonal_mam,region_39
6,2007,1828.1724952741026,BA_Total,seasonal_mam,region_39
7,2008,1473.7561436672966,BA_Total,seasonal_mam,region_39
8,2009,1160.6082230623815,BA_Total,seasonal_mam,region_39
9,2010,2046.2646502835535,BA_Total,seasonal_mam,region_39
10,2011,894.9026465028355,BA_Total,seasonal_mam,region_39
11,2012,1647.6153119092623,BA_Total,seasonal_mam,region_39
12,2013,1276.0666351606803,BA_Total,seasonal_mam,region_39
13,2014,2038.6720226843097,BA_Total,seasonal_mam,region_39
14,2015,1650.3870510396976,BA_Total,seasonal_mam,region_39
15,2016,1595.9437618147444,BA_Total,seasonal_mam,region_39
16,2017,1252.7920604914932,BA_Total,seasonal_mam,region_39
17,2018,1231.9120982986767,BA_Total,seasonal_mam,region_39
18,2019,1290.294896030246,BA_Total,seasonal_mam,region_39
19,2020,1647.8662570888469,BA_Total,seasonal_mam,region_39
20,2021,1053.6058601134214,BA_Total,seasonal_mam,region_39
21,2022,360.98345935727787,BA_Total,seasonal_mam,region_39
22,2023,1187.1138941398863,BA_Total,seasonal_mam,region_39
