year,sum,variable,timescale,region
2001,0.14,BA_Total,seasonal_son,RAR
2002,2.0980000000000003,BA_Total,seasonal_son,RAR
2003,23.758,BA_Total,seasonal_son,RAR
2004,0.0,BA_Total,seasonal_son,RAR
2005,0.079,BA_Total,seasonal_son,RAR
2006,0.19500000000000003,BA_Total,seasonal_son,RAR
2007,0.22200000000000003,BA_Total,seasonal_son,RAR
2008,1.703,BA_Total,seasonal_son,RAR
2009,1.328,BA_Total,seasonal_son,RAR
2010,0.151,BA_Total,seasonal_son,RAR
2011,0.046,BA_Total,seasonal_son,RAR
2012,0.587,BA_Total,seasonal_son,RAR
2013,0.375,BA_Total,seasonal_son,RAR
2014,0.025,BA_Total,seasonal_son,RAR
2015,0.024,BA_Total,seasonal_son,RAR
2016,0.18100000000000002,BA_Total,seasonal_son,RAR
2017,0.685,BA_Total,seasonal_son,RAR
2018,0.5630000000000002,BA_Total,seasonal_son,RAR
2019,2.1590000000000007,BA_Total,seasonal_son,RAR
2020,4.148,BA_Total,seasonal_son,RAR
2021,9.805999999999997,BA_Total,seasonal_son,RAR
2022,0.059000000000000004,BA_Total,seasonal_son,RAR
2023,0.0,BA_Total,seasonal_son,RAR
