,year,sum,variable,timescale,region
0,2001,622.3391608391611,BA_Total,seasonal_son,region_18
1,2002,375.5499500499501,BA_Total,seasonal_son,region_18
2,2003,203.7737262737263,BA_Total,seasonal_son,region_18
3,2004,491.7347652347654,BA_Total,seasonal_son,region_18
4,2005,775.6383616383619,BA_Total,seasonal_son,region_18
5,2006,484.29370629370635,BA_Total,seasonal_son,region_18
6,2007,223.79570429570433,BA_Total,seasonal_son,region_18
7,2008,1028.195304695305,BA_Total,seasonal_son,region_18
8,2009,445.3306693306694,BA_Total,seasonal_son,region_18
9,2010,406.7332667332669,BA_Total,seasonal_son,region_18
10,2011,522.7467532467533,BA_Total,seasonal_son,region_18
11,2012,393.7217782217783,BA_Total,seasonal_son,region_18
12,2013,172.25274725274727,BA_Total,seasonal_son,region_18
13,2014,1336.0514485514484,BA_Total,seasonal_son,region_18
14,2015,1027.5799200799202,BA_Total,seasonal_son,region_18
15,2016,254.90709290709293,BA_Total,seasonal_son,region_18
16,2017,412.7732267732269,BA_Total,seasonal_son,region_18
17,2018,371.8366633366634,BA_Total,seasonal_son,region_18
18,2019,925.9895104895104,BA_Total,seasonal_son,region_18
19,2020,424.1663336663337,BA_Total,seasonal_son,region_18
20,2021,221.02497502497505,BA_Total,seasonal_son,region_18
21,2022,59.85914085914086,BA_Total,seasonal_son,region_18
