year,sum,variable,timescale,region
2001,0.569030969030969,BA_Total,seasonal_son,region_31
2002,1.6658171828171822,BA_Total,seasonal_son,region_31
2003,0.34532167832167826,BA_Total,seasonal_son,region_31
2004,0.2512037962037962,BA_Total,seasonal_son,region_31
2005,1.4987467532467533,BA_Total,seasonal_son,region_31
2006,0.5018646353646354,BA_Total,seasonal_son,region_31
2007,0.6753831168831169,BA_Total,seasonal_son,region_31
2008,0.10552697302697304,BA_Total,seasonal_son,region_31
2009,0.2325784215784216,BA_Total,seasonal_son,region_31
2010,0.3230904095904096,BA_Total,seasonal_son,region_31
2011,1.1031183816183814,BA_Total,seasonal_son,region_31
2012,0.2673696303696304,BA_Total,seasonal_son,region_31
2013,0.3773376623376623,BA_Total,seasonal_son,region_31
2014,1.0234015984015983,BA_Total,seasonal_son,region_31
2015,0.5766148851148851,BA_Total,seasonal_son,region_31
2016,0.896552947052947,BA_Total,seasonal_son,region_31
2017,0.19762937062937064,BA_Total,seasonal_son,region_31
2018,0.23229770229770236,BA_Total,seasonal_son,region_31
2019,0.13114035964035967,BA_Total,seasonal_son,region_31
2020,0.3013271728271729,BA_Total,seasonal_son,region_31
2021,0.18446003996004,BA_Total,seasonal_son,region_31
2022,0.40980019980019977,BA_Total,seasonal_son,region_31
