year,sum,variable,timescale,region
2001,391.456,BA_Total,yearly,region_19
2002,472.927,BA_Total,yearly,region_19
2003,182.224,BA_Total,yearly,region_19
2004,337.9290000000001,BA_Total,yearly,region_19
2005,351.496,BA_Total,yearly,region_19
2006,486.337,BA_Total,yearly,region_19
2007,289.38599999999997,BA_Total,yearly,region_19
2008,328.78899999999993,BA_Total,yearly,region_19
2009,288.66099999999994,BA_Total,yearly,region_19
2010,340.93399999999997,BA_Total,yearly,region_19
2011,112.255,BA_Total,yearly,region_19
2012,108.03699999999999,BA_Total,yearly,region_19
2013,33.10299999999999,BA_Total,yearly,region_19
2014,205.24799999999996,BA_Total,yearly,region_19
2015,146.52999999999997,BA_Total,yearly,region_19
2016,57.61799999999998,BA_Total,yearly,region_19
2017,335.25300000000004,BA_Total,yearly,region_19
2018,102.97299999999998,BA_Total,yearly,region_19
2019,90.13499999999998,BA_Total,yearly,region_19
2020,88.43999999999996,BA_Total,yearly,region_19
2021,57.59999999999999,BA_Total,yearly,region_19
2022,62.315,BA_Total,yearly,region_19
2023,17.877,BA_Total,yearly,region_19
