,year,sum,variable,timescale,region
0,2000,81848.0,BA_Total,yearly_jj,region_25
1,2001,1059263.0,BA_Total,yearly_jj,region_25
2,2002,1120789.0,BA_Total,yearly_jj,region_25
3,2003,1165114.0,BA_Total,yearly_jj,region_25
4,2004,1158639.0,BA_Total,yearly_jj,region_25
5,2005,1165968.0,BA_Total,yearly_jj,region_25
6,2006,1012896.0,BA_Total,yearly_jj,region_25
7,2007,1073873.0,BA_Total,yearly_jj,region_25
8,2008,1010998.0,BA_Total,yearly_jj,region_25
9,2009,1083720.0,BA_Total,yearly_jj,region_25
10,2010,1108220.0,BA_Total,yearly_jj,region_25
11,2011,1064788.0,BA_Total,yearly_jj,region_25
12,2012,972249.0,BA_Total,yearly_jj,region_25
13,2013,968726.0,BA_Total,yearly_jj,region_25
14,2014,870845.0,BA_Total,yearly_jj,region_25
15,2015,971318.0,BA_Total,yearly_jj,region_25
16,2016,972141.0,BA_Total,yearly_jj,region_25
17,2017,787838.0,BA_Total,yearly_jj,region_25
18,2018,808412.0,BA_Total,yearly_jj,region_25
19,2019,769840.0,BA_Total,yearly_jj,region_25
20,2020,834013.0,BA_Total,yearly_jj,region_25
21,2021,810533.0,BA_Total,yearly_jj,region_25
22,2022,738175.0,BA_Total,yearly_jj,region_25
23,2023,90397.0,BA_Total,yearly_jj,region_25
