year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2002,0.0008271014621780777,0.002087881083736725,0.014819854915915373,0.0005045893841236877,0.007793041008904144,0.006348492948780869,0.028163918858875724,0.017631463930475218,0.008204908110380143,0.012655666927014008,0.04527148257756011,0.007342237028000824,Cem_Forest_NonForest,monthly,CNA
2003,0.01727386990403113,0.023166597516374537,0.1412332168906093,0.07598851015974636,0.00454041307380951,0.013045764715232316,0.010752920689591737,0.00643820064773999,0.002831786385470459,0.21634320988691771,0.052037447741282376,0.027002564767548403,Cem_Forest_NonForest,monthly,CNA
2004,0.0026912243744147643,0.09194418043674354,0.14892757663537473,0.022714538596428514,0.003788610046005524,0.0,0.0023607704140901223,0.0038642673871937556,0.020561751922852388,0.014648698602504532,0.0004007817323195496,0.016922517414558483,Cem_Forest_NonForest,monthly,CNA
2005,0.009512139254577315,0.01223324709151515,0.12126719230934445,0.02003642282535939,0.008087501238690856,0.006845830925967454,0.037137204402937336,0.014093228044739045,0.020358157549201356,0.024697653945864935,0.15587361429576632,0.028328227383617784,Cem_Forest_NonForest,monthly,CNA
2006,0.023171140846470855,0.05735184351434077,0.09446841620207287,0.014957860508936134,0.011117727387656496,0.010894786957546051,0.2688238696457258,0.0073049851143946794,0.24385081150640076,0.03040539976823935,0.027829990584438826,0.017168026535040726,Cem_Forest_NonForest,monthly,CNA
2007,0.003096214622650604,0.10997086446680908,0.07239659197715642,0.06723656510337211,0.2845729415405631,0.002004764960033661,0.0,0.007668287226559295,0.00839480458100453,0.012783513198724807,0.06656214279406385,0.019915026612687247,Cem_Forest_NonForest,monthly,CNA
2008,0.004755359986282242,0.018792976458961674,0.08883499021988193,0.02220662654759427,0.011134760561871447,0.0022586211576819453,0.0021108406002691956,0.0012769379024559022,0.006752545231240356,0.010453382953928772,0.1264308707153207,0.005570742178565322,Cem_Forest_NonForest,monthly,CNA
2009,0.029291677112223618,0.07141003992334234,0.07655306231499666,0.09424634096427822,0.0012294948643141708,0.017406119025713682,0.0015446074240374145,0.0009535398006499328,0.002648855782118164,0.06278948004545233,0.023868538382161363,0.004695738110963516,Cem_Forest_NonForest,monthly,CNA
2010,0.005386686396372924,0.02959746166672361,0.10980780438488118,0.017275267126343398,0.004418785625985077,0.01123903798242424,0.0005046034756405945,0.017971658436792645,0.018591249930105528,0.16715350935249618,0.029010831737756315,0.015258604297559385,Cem_Forest_NonForest,monthly,CNA
2011,0.0014310552789475403,0.06853562485642299,0.04912636557138366,0.017861796633626664,0.0031870161249089356,0.04407143466257503,0.0027648477026136478,0.007808759520315613,1.0389270391892407,0.05033608699134836,0.03478168511591729,0.005029243464485229,Cem_Forest_NonForest,monthly,CNA
2012,0.006866162482540192,0.051225567358006346,0.07548261404583949,0.00991840820330008,0.1182101835029503,0.006440286905322661,0.004383912595454956,0.024798277339261876,0.025225763634431644,0.060794578821787765,0.014769191876207642,0.013287964951774825,Cem_Forest_NonForest,monthly,CNA
2013,0.01817689303946034,0.007894428737070571,0.14677767633083746,0.012374376508555114,0.0005448289863453063,0.01811116850000153,0.0009400389204500886,0.001673334785179169,0.01732046112420475,0.002280140042310486,0.015304416422524787,0.016565419172851835,Cem_Forest_NonForest,monthly,CNA
2014,0.004762389801826279,0.028099124153867915,0.10101327489852624,0.025511529944545794,0.030461256277717803,0.00024861383934188843,0.001952401239748459,7.836200963519286e-05,0.003705558233656662,0.004908710657338913,0.03721561416034299,0.009676095811955818,Cem_Forest_NonForest,monthly,CNA
2015,0.025504355556841992,0.02104369859770613,0.03869310963441674,0.002350001664930801,0.007592827696511597,0.00020204282829415894,0.0011626497340175477,0.004184208494483703,0.012832749083095384,0.03941928135335865,0.013845086788033324,0.027119149159788147,Cem_Forest_NonForest,monthly,CNA
2016,0.01733091400324629,0.15833532432336936,0.08272194073568341,0.044734661087519535,0.049908880367649254,0.006360261252771544,0.0034958060993591925,0.0027658845052690286,0.006027759357215484,0.017136204643386544,0.01371985512237841,0.02972561168618411,Cem_Forest_NonForest,monthly,CNA
2017,0.04125949678380481,0.08114935329151664,0.1134643901814216,0.008051910675839432,0.0002952551280685272,0.0014524037994918062,0.0013199554241527097,0.0005647000990050048,0.016224001573240478,0.015847357009039865,0.0492349607375526,0.014259631765102292,Cem_Forest_NonForest,monthly,CNA
2018,0.0027867171971360325,0.012892267316419402,0.15052627504173968,0.11030883307688695,0.01057702283588066,0.0004281388815606689,0.00039893769966955567,0.06870184872022703,0.006765654878038616,0.0029994368714367976,0.013528489949666168,0.0013189663357399293,Cem_Forest_NonForest,monthly,CNA
2019,0.004176780331906143,0.003025506122107071,0.13717528764221384,0.019022293358532866,0.0010789452011663208,0.0004308541415423889,0.0005972207391977996,0.0022983615577770082,0.011833476994689637,0.0014528074488347322,0.10132646437874801,0.005976121570026494,Cem_Forest_NonForest,monthly,CNA
2020,0.006620469898390961,0.014897253197288803,0.027742848739155765,0.00770523143122099,0.0017745283134015962,0.0025918461168395078,0.0005539885377549133,0.0144219369761143,0.0023546722798918765,0.009432201642932257,0.047069307967688226,0.003682202198586014,Cem_Forest_NonForest,monthly,CNA
