year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028222711835385137,0.012143451291136264,0.0,Cem_Forest_NonForest,monthly,region_41
2003,0.0,0.0,0.0,0.0,0.0008561749486925049,0.0,0.0,0.0,0.0,0.0,0.023652487091209713,0.0,Cem_Forest_NonForest,monthly,region_41
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013372305248205568,Cem_Forest_NonForest,monthly,region_41
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cem_Forest_NonForest,monthly,region_41
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001570515338614746,Cem_Forest_NonForest,monthly,region_41
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.225037056884767e-05,0.0,Cem_Forest_NonForest,monthly,region_41
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cem_Forest_NonForest,monthly,region_41
2009,0.0,0.0,0.0,0.0,0.000338382199206543,0.0,0.0,0.0,0.0,0.0,0.00014941652103060915,0.0,Cem_Forest_NonForest,monthly,region_41
2010,0.0002355886067158508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.256080051470948e-05,0.0,0.0,Cem_Forest_NonForest,monthly,region_41
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015996760646374512,0.018547133917750248,0.0025561072823144836,0.0,Cem_Forest_NonForest,monthly,region_41
2012,0.0002636584046583252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023577822724395753,0.00801929361931601,0.005741203421689819,0.0010515238337948226,Cem_Forest_NonForest,monthly,region_41
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.826953455322266e-05,0.0,Cem_Forest_NonForest,monthly,region_41
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cem_Forest_NonForest,monthly,region_41
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010271578821466064,0.0,0.0,0.0008006872392020263,Cem_Forest_NonForest,monthly,region_41
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cem_Forest_NonForest,monthly,region_41
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cem_Forest_NonForest,monthly,region_41
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002986304990756623,0.0,0.0,Cem_Forest_NonForest,monthly,region_41
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.638149730752563e-05,0.0,Cem_Forest_NonForest,monthly,region_41
2020,0.0,0.0,0.0,0.0,0.0012377793236921387,0.0,0.0,0.0,0.0,0.0,0.0,0.0030234829852304693,Cem_Forest_NonForest,monthly,region_41
