year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_djf,NSA
2003,2.571329173951644,Cem_Forest_NonForest,seasonal_djf,NSA
2004,1.737570486097123,Cem_Forest_NonForest,seasonal_djf,NSA
2005,1.4242194747103236,Cem_Forest_NonForest,seasonal_djf,NSA
2006,0.5365790729073642,Cem_Forest_NonForest,seasonal_djf,NSA
2007,2.3769108222917437,Cem_Forest_NonForest,seasonal_djf,NSA
2008,0.4525344198115907,Cem_Forest_NonForest,seasonal_djf,NSA
2009,0.3392506198608798,Cem_Forest_NonForest,seasonal_djf,NSA
2010,3.350231179366908,Cem_Forest_NonForest,seasonal_djf,NSA
2011,0.36334285461287047,Cem_Forest_NonForest,seasonal_djf,NSA
2012,0.5857906097093746,Cem_Forest_NonForest,seasonal_djf,NSA
2013,0.8819510064622158,Cem_Forest_NonForest,seasonal_djf,NSA
2014,0.6119696495827167,Cem_Forest_NonForest,seasonal_djf,NSA
2015,0.6521638888554665,Cem_Forest_NonForest,seasonal_djf,NSA
2016,9.290962822067518,Cem_Forest_NonForest,seasonal_djf,NSA
2017,0.3763702870292059,Cem_Forest_NonForest,seasonal_djf,NSA
2018,1.6406889346988227,Cem_Forest_NonForest,seasonal_djf,NSA
2019,1.3472233497853332,Cem_Forest_NonForest,seasonal_djf,NSA
2020,0.8292100239436507,Cem_Forest_NonForest,seasonal_djf,NSA
