year,sum,variable,timescale,region
2002,0.00011243716478443723,Cem_Forest_NonForest,seasonal_djf,region_04
2003,0.00010930522667635364,Cem_Forest_NonForest,seasonal_djf,region_04
2004,0.0,Cem_Forest_NonForest,seasonal_djf,region_04
2005,9.796803206972798e-05,Cem_Forest_NonForest,seasonal_djf,region_04
2006,0.0002513829909464854,Cem_Forest_NonForest,seasonal_djf,region_04
2007,0.0005053987550667552,Cem_Forest_NonForest,seasonal_djf,region_04
2008,3.8310700290623535e-05,Cem_Forest_NonForest,seasonal_djf,region_04
2009,0.00010806760954462457,Cem_Forest_NonForest,seasonal_djf,region_04
2010,9.523160983470932e-06,Cem_Forest_NonForest,seasonal_djf,region_04
2011,0.00010713184667807357,Cem_Forest_NonForest,seasonal_djf,region_04
2012,0.0,Cem_Forest_NonForest,seasonal_djf,region_04
2013,0.00047965559882434986,Cem_Forest_NonForest,seasonal_djf,region_04
2014,2.4750519008559978e-05,Cem_Forest_NonForest,seasonal_djf,region_04
2015,5.284541010551052e-05,Cem_Forest_NonForest,seasonal_djf,region_04
2016,6.361066352498558e-05,Cem_Forest_NonForest,seasonal_djf,region_04
2017,0.006293739501955499,Cem_Forest_NonForest,seasonal_djf,region_04
2018,0.0038273225845992923,Cem_Forest_NonForest,seasonal_djf,region_04
2019,0.0006357428529036517,Cem_Forest_NonForest,seasonal_djf,region_04
2020,0.00020472748463453845,Cem_Forest_NonForest,seasonal_djf,region_04
