year,sum,variable,timescale,region
2002,2.2943629361597107,Cem_Forest_NonForest,seasonal_jja,NES
2003,0.623350937806487,Cem_Forest_NonForest,seasonal_jja,NES
2004,0.695815301225103,Cem_Forest_NonForest,seasonal_jja,NES
2005,1.7590010577540522,Cem_Forest_NonForest,seasonal_jja,NES
2006,0.34635732447895756,Cem_Forest_NonForest,seasonal_jja,NES
2007,6.680929218023486,Cem_Forest_NonForest,seasonal_jja,NES
2008,0.3900955612091064,Cem_Forest_NonForest,seasonal_jja,NES
2009,0.19597556306182035,Cem_Forest_NonForest,seasonal_jja,NES
2010,4.024055934761385,Cem_Forest_NonForest,seasonal_jja,NES
2011,0.8123216017437884,Cem_Forest_NonForest,seasonal_jja,NES
2012,4.471384198552303,Cem_Forest_NonForest,seasonal_jja,NES
2013,0.4396297290247796,Cem_Forest_NonForest,seasonal_jja,NES
2014,1.31144203930238,Cem_Forest_NonForest,seasonal_jja,NES
2015,1.2465597736555674,Cem_Forest_NonForest,seasonal_jja,NES
2016,2.387564629089351,Cem_Forest_NonForest,seasonal_jja,NES
2017,1.569767416377777,Cem_Forest_NonForest,seasonal_jja,NES
2018,1.057812778900267,Cem_Forest_NonForest,seasonal_jja,NES
2019,1.401070200010086,Cem_Forest_NonForest,seasonal_jja,NES
2020,0.7636417953978571,Cem_Forest_NonForest,seasonal_jja,NES
