year,sum,variable,timescale,region
2002,36.64720602433643,Cem_Forest_NonForest,seasonal_jja,WSAF
2003,21.302070797247488,Cem_Forest_NonForest,seasonal_jja,WSAF
2004,15.269308894244888,Cem_Forest_NonForest,seasonal_jja,WSAF
2005,27.485267737596928,Cem_Forest_NonForest,seasonal_jja,WSAF
2006,17.74279806057389,Cem_Forest_NonForest,seasonal_jja,WSAF
2007,16.96982145340502,Cem_Forest_NonForest,seasonal_jja,WSAF
2008,16.246358674292786,Cem_Forest_NonForest,seasonal_jja,WSAF
2009,16.966491438619915,Cem_Forest_NonForest,seasonal_jja,WSAF
2010,20.3286572138211,Cem_Forest_NonForest,seasonal_jja,WSAF
2011,18.14553727916607,Cem_Forest_NonForest,seasonal_jja,WSAF
2012,13.46576510531164,Cem_Forest_NonForest,seasonal_jja,WSAF
2013,15.169987471853847,Cem_Forest_NonForest,seasonal_jja,WSAF
2014,13.167031628087917,Cem_Forest_NonForest,seasonal_jja,WSAF
2015,22.530842524506422,Cem_Forest_NonForest,seasonal_jja,WSAF
2016,20.488822385413023,Cem_Forest_NonForest,seasonal_jja,WSAF
2017,17.256380954104905,Cem_Forest_NonForest,seasonal_jja,WSAF
2018,13.228610933927541,Cem_Forest_NonForest,seasonal_jja,WSAF
2019,32.94807642242537,Cem_Forest_NonForest,seasonal_jja,WSAF
2020,11.645303878387647,Cem_Forest_NonForest,seasonal_jja,WSAF
