,year,sum,variable,timescale,region
0,2002,3526449.2144090515,Cem_Forest_NonForest,seasonal_jja,region_06
1,2003,4607228.20643775,Cem_Forest_NonForest,seasonal_jja,region_06
2,2004,1247560.0530222296,Cem_Forest_NonForest,seasonal_jja,region_06
3,2005,15852367.704174278,Cem_Forest_NonForest,seasonal_jja,region_06
4,2006,3035791.5451291036,Cem_Forest_NonForest,seasonal_jja,region_06
5,2007,10072947.906340469,Cem_Forest_NonForest,seasonal_jja,region_06
6,2008,5339896.132119531,Cem_Forest_NonForest,seasonal_jja,region_06
7,2009,3540339.867412688,Cem_Forest_NonForest,seasonal_jja,region_06
8,2010,23579262.619022522,Cem_Forest_NonForest,seasonal_jja,region_06
9,2011,19078276.54560619,Cem_Forest_NonForest,seasonal_jja,region_06
10,2012,6116746.366293458,Cem_Forest_NonForest,seasonal_jja,region_06
11,2013,454976.11335940065,Cem_Forest_NonForest,seasonal_jja,region_06
12,2014,1021550.0354031688,Cem_Forest_NonForest,seasonal_jja,region_06
13,2015,1054564.47613942,Cem_Forest_NonForest,seasonal_jja,region_06
14,2016,1500609.7288250641,Cem_Forest_NonForest,seasonal_jja,region_06
15,2017,1771885.4599695322,Cem_Forest_NonForest,seasonal_jja,region_06
16,2018,22374113.079242013,Cem_Forest_NonForest,seasonal_jja,region_06
17,2019,1383209.0940945712,Cem_Forest_NonForest,seasonal_jja,region_06
18,2020,8934578.754296359,Cem_Forest_NonForest,seasonal_jja,region_06
