,year,sum,variable,timescale,region
0,2002,90531868.86479883,Cem_Forest_NonForest,seasonal_mam,region_39
1,2003,79861614.39737691,Cem_Forest_NonForest,seasonal_mam,region_39
2,2004,217110754.4847548,Cem_Forest_NonForest,seasonal_mam,region_39
3,2005,179291926.63167837,Cem_Forest_NonForest,seasonal_mam,region_39
4,2006,58296946.57277748,Cem_Forest_NonForest,seasonal_mam,region_39
5,2007,198532568.49353004,Cem_Forest_NonForest,seasonal_mam,region_39
6,2008,108485873.1120169,Cem_Forest_NonForest,seasonal_mam,region_39
7,2009,95963791.0104611,Cem_Forest_NonForest,seasonal_mam,region_39
8,2010,210173645.07077757,Cem_Forest_NonForest,seasonal_mam,region_39
9,2011,65570353.80770401,Cem_Forest_NonForest,seasonal_mam,region_39
10,2012,87468698.97041385,Cem_Forest_NonForest,seasonal_mam,region_39
11,2013,79598166.43411097,Cem_Forest_NonForest,seasonal_mam,region_39
12,2014,199348473.82766744,Cem_Forest_NonForest,seasonal_mam,region_39
13,2015,138206143.74728242,Cem_Forest_NonForest,seasonal_mam,region_39
14,2016,150932021.6899387,Cem_Forest_NonForest,seasonal_mam,region_39
15,2017,79375931.65863766,Cem_Forest_NonForest,seasonal_mam,region_39
16,2018,62539072.607348524,Cem_Forest_NonForest,seasonal_mam,region_39
17,2019,90074684.85189591,Cem_Forest_NonForest,seasonal_mam,region_39
18,2020,178162003.70513362,Cem_Forest_NonForest,seasonal_mam,region_39
