year,sum,variable,timescale,region
2002,0.0001326651877845764,Cem_Forest_NonForest,yearly,SAH
2003,0.0,Cem_Forest_NonForest,yearly,SAH
2004,0.0,Cem_Forest_NonForest,yearly,SAH
2005,0.0068233323374577055,Cem_Forest_NonForest,yearly,SAH
2006,0.005331851135890869,Cem_Forest_NonForest,yearly,SAH
2007,0.004571655092019652,Cem_Forest_NonForest,yearly,SAH
2008,0.0006337672485749817,Cem_Forest_NonForest,yearly,SAH
2009,0.0,Cem_Forest_NonForest,yearly,SAH
2010,0.0,Cem_Forest_NonForest,yearly,SAH
2011,0.0,Cem_Forest_NonForest,yearly,SAH
2012,0.0027658350999135587,Cem_Forest_NonForest,yearly,SAH
2013,0.00017899161386493684,Cem_Forest_NonForest,yearly,SAH
2014,0.0,Cem_Forest_NonForest,yearly,SAH
2015,0.0,Cem_Forest_NonForest,yearly,SAH
2016,0.00020276682740490723,Cem_Forest_NonForest,yearly,SAH
2017,0.0,Cem_Forest_NonForest,yearly,SAH
2018,4.955339162953186e-05,Cem_Forest_NonForest,yearly,SAH
2019,0.006595765630945069,Cem_Forest_NonForest,yearly,SAH
2020,0.0002718754730249023,Cem_Forest_NonForest,yearly,SAH
