year,sum,variable,timescale,region
2002,3.265138532778561,Cem_Forest_NonForest,yearly,WNA
2003,5.019454320065424,Cem_Forest_NonForest,yearly,WNA
2004,0.7023771450724181,Cem_Forest_NonForest,yearly,WNA
2005,1.1445838775020138,Cem_Forest_NonForest,yearly,WNA
2006,4.606286901011686,Cem_Forest_NonForest,yearly,WNA
2007,7.6179803638366375,Cem_Forest_NonForest,yearly,WNA
2008,5.765295260217663,Cem_Forest_NonForest,yearly,WNA
2009,1.240757796495626,Cem_Forest_NonForest,yearly,WNA
2010,0.4086351792934061,Cem_Forest_NonForest,yearly,WNA
2011,1.1732821059947003,Cem_Forest_NonForest,yearly,WNA
2012,4.789333963550492,Cem_Forest_NonForest,yearly,WNA
2013,3.0899447230177555,Cem_Forest_NonForest,yearly,WNA
2014,3.246058877753449,Cem_Forest_NonForest,yearly,WNA
2015,11.725569593248933,Cem_Forest_NonForest,yearly,WNA
2016,3.37475320038604,Cem_Forest_NonForest,yearly,WNA
2017,12.740689914638924,Cem_Forest_NonForest,yearly,WNA
2018,9.652216127774201,Cem_Forest_NonForest,yearly,WNA
2019,1.047662986792577,Cem_Forest_NonForest,yearly,WNA
2020,34.012205522154765,Cem_Forest_NonForest,yearly,WNA
