year,sum,variable,timescale,region
2002,7.972878297032083,Cem_Forest_NonForest,yearly_jj,SCA
2003,29.968415043743494,Cem_Forest_NonForest,yearly_jj,SCA
2004,1.9248378675121667,Cem_Forest_NonForest,yearly_jj,SCA
2005,17.437424839753557,Cem_Forest_NonForest,yearly_jj,SCA
2006,5.872604910949093,Cem_Forest_NonForest,yearly_jj,SCA
2007,7.396062442974167,Cem_Forest_NonForest,yearly_jj,SCA
2008,6.348500347243481,Cem_Forest_NonForest,yearly_jj,SCA
2009,10.042291121484597,Cem_Forest_NonForest,yearly_jj,SCA
2010,4.2841087570561776,Cem_Forest_NonForest,yearly_jj,SCA
2011,8.472254391700865,Cem_Forest_NonForest,yearly_jj,SCA
2012,2.5435910367281758,Cem_Forest_NonForest,yearly_jj,SCA
2013,10.137318891251383,Cem_Forest_NonForest,yearly_jj,SCA
2014,2.601186617462691,Cem_Forest_NonForest,yearly_jj,SCA
2015,7.1958595502564195,Cem_Forest_NonForest,yearly_jj,SCA
2016,6.27207450703235,Cem_Forest_NonForest,yearly_jj,SCA
2017,6.344009467412281,Cem_Forest_NonForest,yearly_jj,SCA
2018,3.716462403708987,Cem_Forest_NonForest,yearly_jj,SCA
2019,12.028507089568746,Cem_Forest_NonForest,yearly_jj,SCA
2020,14.967732720740551,Cem_Forest_NonForest,yearly_jj,SCA
