year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_djf,SAU
2003,19.828414306891062,Cem_Total,seasonal_djf,SAU
2004,0.7495949773482228,Cem_Total,seasonal_djf,SAU
2005,13.370291332756048,Cem_Total,seasonal_djf,SAU
2006,5.415415924441355,Cem_Total,seasonal_djf,SAU
2007,15.843009465777003,Cem_Total,seasonal_djf,SAU
2008,6.232144743907284,Cem_Total,seasonal_djf,SAU
2009,9.14316729945809,Cem_Total,seasonal_djf,SAU
2010,7.604004130430293,Cem_Total,seasonal_djf,SAU
2011,0.871567086942109,Cem_Total,seasonal_djf,SAU
2012,4.9571277175568715,Cem_Total,seasonal_djf,SAU
2013,6.465729521851083,Cem_Total,seasonal_djf,SAU
2014,9.92762532611249,Cem_Total,seasonal_djf,SAU
2015,7.855820001231831,Cem_Total,seasonal_djf,SAU
2016,7.868376682091439,Cem_Total,seasonal_djf,SAU
2017,2.082419756105721,Cem_Total,seasonal_djf,SAU
2018,2.90527040560703,Cem_Total,seasonal_djf,SAU
2019,14.837655093109573,Cem_Total,seasonal_djf,SAU
2020,101.95174859256173,Cem_Total,seasonal_djf,SAU
