year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_djf,region_03
2003,0.0,Cem_Total,seasonal_djf,region_03
2004,0.0,Cem_Total,seasonal_djf,region_03
2005,0.0,Cem_Total,seasonal_djf,region_03
2006,0.0,Cem_Total,seasonal_djf,region_03
2007,0.0,Cem_Total,seasonal_djf,region_03
2008,0.0,Cem_Total,seasonal_djf,region_03
2009,0.0,Cem_Total,seasonal_djf,region_03
2010,0.0,Cem_Total,seasonal_djf,region_03
2011,0.0,Cem_Total,seasonal_djf,region_03
2012,0.0,Cem_Total,seasonal_djf,region_03
2013,0.0,Cem_Total,seasonal_djf,region_03
2014,0.0,Cem_Total,seasonal_djf,region_03
2015,0.0,Cem_Total,seasonal_djf,region_03
2016,0.0,Cem_Total,seasonal_djf,region_03
2017,0.0,Cem_Total,seasonal_djf,region_03
2018,0.0,Cem_Total,seasonal_djf,region_03
2019,1.6700274784367135e-05,Cem_Total,seasonal_djf,region_03
2020,5.858910278774357e-06,Cem_Total,seasonal_djf,region_03
