,year,sum,variable,timescale,region
0,2002,3167515.8648244925,Cem_Total,seasonal_djf,region_07
1,2003,4133496.5478296517,Cem_Total,seasonal_djf,region_07
2,2004,16669683.795181477,Cem_Total,seasonal_djf,region_07
3,2005,8497677.146509334,Cem_Total,seasonal_djf,region_07
4,2006,10551844.456297293,Cem_Total,seasonal_djf,region_07
5,2007,7037045.662326837,Cem_Total,seasonal_djf,region_07
6,2008,9138648.185469529,Cem_Total,seasonal_djf,region_07
7,2009,8522672.58325631,Cem_Total,seasonal_djf,region_07
8,2010,5573035.639275717,Cem_Total,seasonal_djf,region_07
9,2011,10845664.419345364,Cem_Total,seasonal_djf,region_07
10,2012,3581174.4748211093,Cem_Total,seasonal_djf,region_07
11,2013,4008941.8347237734,Cem_Total,seasonal_djf,region_07
12,2014,4944939.985876416,Cem_Total,seasonal_djf,region_07
13,2015,4700491.45555863,Cem_Total,seasonal_djf,region_07
14,2016,10029359.697213534,Cem_Total,seasonal_djf,region_07
15,2017,12424224.7557124,Cem_Total,seasonal_djf,region_07
16,2018,5956154.700240796,Cem_Total,seasonal_djf,region_07
17,2019,6384904.526409731,Cem_Total,seasonal_djf,region_07
18,2020,9596705.229600618,Cem_Total,seasonal_djf,region_07
