,year,sum,variable,timescale,region
0,2002,1918308485.742617,Cem_Total,seasonal_jja,region_31
1,2003,1743603784.738446,Cem_Total,seasonal_jja,region_31
2,2004,184977273.10895085,Cem_Total,seasonal_jja,region_31
3,2005,133997332.712866,Cem_Total,seasonal_jja,region_31
4,2006,1106489697.5129414,Cem_Total,seasonal_jja,region_31
5,2007,383255303.50756454,Cem_Total,seasonal_jja,region_31
6,2008,580835605.9550732,Cem_Total,seasonal_jja,region_31
7,2009,82284747.94164741,Cem_Total,seasonal_jja,region_31
8,2010,90105212.04776077,Cem_Total,seasonal_jja,region_31
9,2011,762868456.9928795,Cem_Total,seasonal_jja,region_31
10,2012,914433008.8786241,Cem_Total,seasonal_jja,region_31
11,2013,770438035.9507325,Cem_Total,seasonal_jja,region_31
12,2014,1853559118.2674491,Cem_Total,seasonal_jja,region_31
13,2015,1515253994.5458095,Cem_Total,seasonal_jja,region_31
14,2016,1434861909.02859,Cem_Total,seasonal_jja,region_31
15,2017,1385131366.69959,Cem_Total,seasonal_jja,region_31
16,2018,1388998182.9149222,Cem_Total,seasonal_jja,region_31
17,2019,2615669462.4817705,Cem_Total,seasonal_jja,region_31
18,2020,603798965.8107579,Cem_Total,seasonal_jja,region_31
