year,sum,variable,timescale,region
2002,1.9111429494778352e-05,Cem_Total,seasonal_jja,region_35
2003,0.007603747061024149,Cem_Total,seasonal_jja,region_35
2004,8.434709055055235e-05,Cem_Total,seasonal_jja,region_35
2005,0.0057026589881181,Cem_Total,seasonal_jja,region_35
2006,4.21165914496681e-05,Cem_Total,seasonal_jja,region_35
2007,0.0031794799035300865,Cem_Total,seasonal_jja,region_35
2008,0.0,Cem_Total,seasonal_jja,region_35
2009,0.002673852455734973,Cem_Total,seasonal_jja,region_35
2010,2.0983327718326033e-05,Cem_Total,seasonal_jja,region_35
2011,4.7649951414026654e-05,Cem_Total,seasonal_jja,region_35
2012,0.003339032225974158,Cem_Total,seasonal_jja,region_35
2013,3.1107351308997916e-05,Cem_Total,seasonal_jja,region_35
2014,0.006882626520011032,Cem_Total,seasonal_jja,region_35
2015,0.0015606813921057896,Cem_Total,seasonal_jja,region_35
2016,1.1853387719087228e-05,Cem_Total,seasonal_jja,region_35
2017,0.00017665739190731672,Cem_Total,seasonal_jja,region_35
2018,0.0001615340551003698,Cem_Total,seasonal_jja,region_35
2019,0.002652863068088245,Cem_Total,seasonal_jja,region_35
2020,0.00029156682884257427,Cem_Total,seasonal_jja,region_35
