,year,sum,variable,timescale,region
0,2002,4698427.524957339,Cem_Total,seasonal_mam,region_05
1,2003,19818359.369640846,Cem_Total,seasonal_mam,region_05
2,2004,11637860.618786128,Cem_Total,seasonal_mam,region_05
3,2005,24826036.41006516,Cem_Total,seasonal_mam,region_05
4,2006,31471657.590857815,Cem_Total,seasonal_mam,region_05
5,2007,15575986.523915477,Cem_Total,seasonal_mam,region_05
6,2008,24237484.76166861,Cem_Total,seasonal_mam,region_05
7,2009,52115054.01271164,Cem_Total,seasonal_mam,region_05
8,2010,23241583.717492577,Cem_Total,seasonal_mam,region_05
9,2011,52537872.088804446,Cem_Total,seasonal_mam,region_05
10,2012,8169767.948185714,Cem_Total,seasonal_mam,region_05
11,2013,5168890.626614179,Cem_Total,seasonal_mam,region_05
12,2014,33957461.74105168,Cem_Total,seasonal_mam,region_05
13,2015,13542179.234449215,Cem_Total,seasonal_mam,region_05
14,2016,36240321.30551775,Cem_Total,seasonal_mam,region_05
15,2017,26918900.15468649,Cem_Total,seasonal_mam,region_05
16,2018,39374789.50212901,Cem_Total,seasonal_mam,region_05
17,2019,23190871.279421438,Cem_Total,seasonal_mam,region_05
18,2020,45889980.51099407,Cem_Total,seasonal_mam,region_05
