year,sum,variable,timescale,region
2002,0.02801113341408313,Cem_Total,seasonal_son,SWS
2003,0.02331057607834414,Cem_Total,seasonal_son,SWS
2004,0.0145234157966315,Cem_Total,seasonal_son,SWS
2005,0.05914057454022677,Cem_Total,seasonal_son,SWS
2006,0.005278241997659255,Cem_Total,seasonal_son,SWS
2007,0.016528654922879703,Cem_Total,seasonal_son,SWS
2008,0.03881132599309848,Cem_Total,seasonal_son,SWS
2009,0.022360443242909346,Cem_Total,seasonal_son,SWS
2010,0.026224687711762062,Cem_Total,seasonal_son,SWS
2011,0.01642164376358431,Cem_Total,seasonal_son,SWS
2012,0.04970190501696826,Cem_Total,seasonal_son,SWS
2013,0.027606538859272858,Cem_Total,seasonal_son,SWS
2014,0.012848539690050322,Cem_Total,seasonal_son,SWS
2015,0.020386161943271836,Cem_Total,seasonal_son,SWS
2016,0.0783237408853891,Cem_Total,seasonal_son,SWS
2017,0.016323917646413555,Cem_Total,seasonal_son,SWS
2018,0.06304531543189532,Cem_Total,seasonal_son,SWS
2019,0.1460865744411882,Cem_Total,seasonal_son,SWS
2020,0.020009527248121352,Cem_Total,seasonal_son,SWS
