,year,sum,variable,timescale,region
0,2002,2767203.84684183,Cem_Total,seasonal_son,region_10
1,2003,8903354.880534803,Cem_Total,seasonal_son,region_10
2,2004,4591219.061566184,Cem_Total,seasonal_son,region_10
3,2005,15716152.910855487,Cem_Total,seasonal_son,region_10
4,2006,8274515.7816635305,Cem_Total,seasonal_son,region_10
5,2007,12529997.227824006,Cem_Total,seasonal_son,region_10
6,2008,4675173.003139689,Cem_Total,seasonal_son,region_10
7,2009,7825118.311952154,Cem_Total,seasonal_son,region_10
8,2010,8056001.644919726,Cem_Total,seasonal_son,region_10
9,2011,3431768.1836811416,Cem_Total,seasonal_son,region_10
10,2012,16521563.145339966,Cem_Total,seasonal_son,region_10
11,2013,6455969.644818003,Cem_Total,seasonal_son,region_10
12,2014,5709095.0812664265,Cem_Total,seasonal_son,region_10
13,2015,11019836.714190433,Cem_Total,seasonal_son,region_10
14,2016,10511344.7094461,Cem_Total,seasonal_son,region_10
15,2017,3019652.0298741213,Cem_Total,seasonal_son,region_10
16,2018,10085622.548063422,Cem_Total,seasonal_son,region_10
17,2019,8631238.45355148,Cem_Total,seasonal_son,region_10
18,2020,12042550.058647525,Cem_Total,seasonal_son,region_10
