year,sum,variable,timescale,region
2002,0.002278774796599742,Cem_Total,seasonal_son,region_17
2003,4.118434789263194e-05,Cem_Total,seasonal_son,region_17
2004,0.0001267794595675682,Cem_Total,seasonal_son,region_17
2005,5.47787363237447e-05,Cem_Total,seasonal_son,region_17
2006,0.0002456429455322482,Cem_Total,seasonal_son,region_17
2007,0.0,Cem_Total,seasonal_son,region_17
2008,0.0,Cem_Total,seasonal_son,region_17
2009,3.75574993714625e-05,Cem_Total,seasonal_son,region_17
2010,1.3495717153419154e-05,Cem_Total,seasonal_son,region_17
2011,1.2058053689453142e-05,Cem_Total,seasonal_son,region_17
2012,0.0,Cem_Total,seasonal_son,region_17
2013,0.0,Cem_Total,seasonal_son,region_17
2014,1.53234039978045e-06,Cem_Total,seasonal_son,region_17
2015,1.0195688740521336e-05,Cem_Total,seasonal_son,region_17
2016,0.0,Cem_Total,seasonal_son,region_17
2017,1.754346759136105e-06,Cem_Total,seasonal_son,region_17
2018,0.00013299620852978908,Cem_Total,seasonal_son,region_17
2019,0.0,Cem_Total,seasonal_son,region_17
2020,0.0,Cem_Total,seasonal_son,region_17
