year,sum,variable,timescale,region
2002,11.665624729712698,Cem_Total,yearly,region_08
2003,37.74763722330362,Cem_Total,yearly,region_08
2004,5.068590974066774,Cem_Total,yearly,region_08
2005,23.455426537840733,Cem_Total,yearly,region_08
2006,13.245074691229988,Cem_Total,yearly,region_08
2007,13.29429657842637,Cem_Total,yearly,region_08
2008,11.013673647728925,Cem_Total,yearly,region_08
2009,15.578573343917016,Cem_Total,yearly,region_08
2010,7.920386199260269,Cem_Total,yearly,region_08
2011,16.977629418721325,Cem_Total,yearly,region_08
2012,5.63082865122069,Cem_Total,yearly,region_08
2013,14.365136581103354,Cem_Total,yearly,region_08
2014,5.449689579224579,Cem_Total,yearly,region_08
2015,10.246221400143762,Cem_Total,yearly,region_08
2016,12.576235872515204,Cem_Total,yearly,region_08
2017,12.206874710995146,Cem_Total,yearly,region_08
2018,7.706518478024363,Cem_Total,yearly,region_08
2019,16.561398193245545,Cem_Total,yearly,region_08
2020,21.576278797902535,Cem_Total,yearly,region_08
