,year,sum,variable,timescale,region
0,2001,2179779788.549707,Cem_Total,yearly_jj,region_36
1,2002,7948073045.52127,Cem_Total,yearly_jj,region_36
2,2003,18812894859.187935,Cem_Total,yearly_jj,region_36
3,2004,15011739043.641441,Cem_Total,yearly_jj,region_36
4,2005,14473613298.504263,Cem_Total,yearly_jj,region_36
5,2006,30813197396.309273,Cem_Total,yearly_jj,region_36
6,2007,15317152598.276886,Cem_Total,yearly_jj,region_36
7,2008,12769207116.968102,Cem_Total,yearly_jj,region_36
8,2009,16002233977.985874,Cem_Total,yearly_jj,region_36
9,2010,15211721079.941526,Cem_Total,yearly_jj,region_36
10,2011,15354446820.936583,Cem_Total,yearly_jj,region_36
11,2012,21367085232.374832,Cem_Total,yearly_jj,region_36
12,2013,14157700172.295593,Cem_Total,yearly_jj,region_36
13,2014,12783949244.157116,Cem_Total,yearly_jj,region_36
14,2015,14999302835.714138,Cem_Total,yearly_jj,region_36
15,2016,5939598457.564461,Cem_Total,yearly_jj,region_36
16,2017,5575581124.997268,Cem_Total,yearly_jj,region_36
17,2018,8541196314.722685,Cem_Total,yearly_jj,region_36
18,2019,17058361191.863316,Cem_Total,yearly_jj,region_36
19,2020,1011915851.2274181,Cem_Total,yearly_jj,region_36
